"X","County","State","Facility","Provider Type","Update","Positive Residents","Positive Residents Transferred","Positive Staff"
NA,"Dade","Florida","PALACE AT KENDALL","ALF","9/7/2020",0,0,5
NA,"Dade","Florida","PALM BREEZE A.L.F.","ALF","9/8/2020",0,1,0
NA,"Dade","Florida","PALM GARDEN OF AVENTURA","NH","9/8/2020",0,0,1
NA,"Dade","Florida","PALMETTO CARE CENTER","NH","9/8/2020",6,13,0
NA,"Dade","Florida","PALMETTO SUBACUTE CARE CENTER","NH","9/8/2020",8,0,1
NA,"Dade","Florida","PAVILION GARDENS","ALF","9/8/2020",0,1,0
NA,"Dade","Florida","PINECREST REHABILITATION CENTER","NH","9/8/2020",0,5,4
NA,"Dade","Florida","PINES NURSING HOME","NH","9/7/2020",0,0,7
NA,"Dade","Florida","PLAZA AT PARKSQUARE","ALF","9/8/2020",0,3,0
NA,"Dade","Florida","PONCE PLAZA NURSING & REHABILITATION CENTER","NH","9/8/2020",34,0,3
NA,"Dade","Florida","PROFESSIONAL HOME CARE I","ALF","9/8/2020",0,2,0
NA,"Dade","Florida","REGENTS PARK AT AVENTURA","NH","9/8/2020",0,0,1
NA,"Dade","Florida","RESIDENCIA CASABELLA ALF CORP","ALF","9/7/2020",0,1,0
NA,"Dade","Florida","RESIDENTIAL PARADISE INC","ALF","9/7/2020",0,0,1
NA,"Dade","Florida","REVIVAL HOME, INC.","ALF","9/8/2020",0,8,1
NA,"Dade","Florida","REYSE ALF CORP.","ALF","9/8/2020",5,7,3
NA,"Dade","Florida","RIVERSIDE CARE CENTER","NH","9/8/2020",0,30,3
NA,"Dade","Florida","RIVIERA HEALTH RESORT","NH","9/8/2020",0,19,2
NA,"Dade","Florida","SALMO 23 ELDER CARE","ALF","9/8/2020",0,1,0
NA,"Dade","Florida","SALMOS 23 #4 LLC","ALF","9/8/2020",0,0,1
NA,"Dade","Florida","SANDS AT SOUTH BEACH CARE CENTER, THE","NH","9/8/2020",0,0,1
NA,"Dade","Florida","SANTA TERESITA HOME CARE","ALF","9/8/2020",0,0,1
NA,"Dade","Florida","SEASONS GARDENS SENIOR RESIDENCE LLC","ALF","9/8/2020",0,6,0
NA,"Dade","Florida","SIGNATURE HEALTHCARE CENTER OF WATERFORD","NH","9/8/2020",15,62,78
NA,"Dade","Florida","SIGNATURE HEALTHCARE OF BROOKWOOD GARDENS","NH","9/8/2020",0,1,1
NA,"Dade","Florida","SINAI PLAZA NURSING AND REHAB CENTER","NH","9/8/2020",2,6,1
NA,"Dade","Florida","SOUTH DADE NURSING AND REHABILITATION CENTER","NH","9/8/2020",8,4,0
NA,"Dade","Florida","ST ANNES NURSING CENTER, ST ANNES RESIDENCE INC","NH","9/8/2020",0,14,0
NA,"Dade","Florida","STELLAR ALF II, LLC","ALF","8/25/2020",1,0,0
NA,"Dade","Florida","STERLING AVENTURA","ALF","9/8/2020",0,5,2
NA,"Dade","Florida","SUN BAY MANOR","ALF","9/8/2020",1,2,0
NA,"Dade","Florida","SUN COAST","ALF","9/8/2020",0,3,1
NA,"Dade","Florida","SUN VILLAGE HOMES INC","ALF","9/8/2020",0,1,0
NA,"Dade","Florida","SUNRISE COMMUNITY, INC.","ICF","9/8/2020",0,33,45
NA,"Dade","Florida","SUNRISE COMMUNITY, INC.","ICF","9/8/2020",0,0,1
NA,"Dade","Florida","SUNRISE COMMUNITY, INC.","ICF","9/8/2020",0,0,3
NA,"Dade","Florida","SUNRISE COMMUNITY, INC.","ICF","9/8/2020",0,0,2
NA,"Dade","Florida","SUNRISE COMMUNITY, INC.","ICF","9/8/2020",1,0,3
NA,"Dade","Florida","SUNRISE COMMUNITY, INC.","ICF","9/8/2020",0,0,1
NA,"Dade","Florida","SUNSHINE ELDERLY RESIDENCES, CORP","ALF","9/8/2020",0,1,0
NA,"Dade","Florida","SUSANNA WESLEY HEALTH CENTER","NH","9/8/2020",0,11,14
NA,"Dade","Florida","SWANKRIDGE, INC.","ALF","9/8/2020",2,2,2
NA,"Dade","Florida","SWEET HOPE ASSISTED LIVING CORP","ALF","9/3/2020",0,1,0
NA,"Dade","Florida","THE PALMS ASSISTED LIVING CORP","ALF","8/27/2020",0,5,1
NA,"Dade","Florida","TREASURE ISLE CARE CENTER","NH","9/8/2020",0,3,3
NA,"Dade","Florida","TWINS SENIORS RESIDENCE ACLF","ALF","9/8/2020",3,3,1
NA,"Dade","Florida","TWO SISTERS ALF,INC.","ALF","9/8/2020",0,1,0
NA,"Dade","Florida","TWO SISTERS TENDER CARE LLC","ALF","9/8/2020",0,4,0
NA,"Dade","Florida","UNITY HEALTH AND REHABILITATION CENTER","NH","9/8/2020",0,28,53
NA,"Dade","Florida","UNIVERSITY PLAZA REHABILITATION AND NURSING CENTER, INC","NH","9/8/2020",8,8,10
NA,"Dade","Florida","VI AT AVENTURA","NH","9/8/2020",0,1,1
NA,"Dade","Florida","VICKY'S ALF","ALF","9/7/2020",0,0,1
NA,"Dade","Florida","VICTORIA NURSING & REHABILITATION CENTER, INC.","NH","9/8/2020",0,9,2
NA,"Dade","Florida","VILLA CANDITA ALF, INC.","ALF","9/8/2020",4,0,1
NA,"Dade","Florida","VILLA MARGO IV INC","ALF","9/8/2020",0,1,0
NA,"Dade","Florida","VILLA MARIA NURSING CENTER","NH","9/8/2020",3,9,3
NA,"Dade","Florida","VILLA MARIA WEST SKILLED NURSING FACILITY","NH","9/8/2020",0,1,4
NA,"Dade","Florida","VILLA SERENA I","ALF","8/5/2020",14,0,2
NA,"Dade","Florida","VILLA SERENA II","ALF","8/5/2020",10,0,2
NA,"Dade","Florida","VILLA SERENA III","ALF","9/8/2020",5,0,1
NA,"Dade","Florida","WEST GABLES HEALTH CARE CENTER","NH","9/8/2020",13,46,1
NA,"Dade","Florida","EAST RIDGE RETIREMENT VILLAGE, INC","ALF","9/8/2020",0,6,1
NA,"Dade","Florida","FAIR HAVENS CENTER","NH","9/8/2020",0,0,2
NA,"Dade","Florida","FAIR HAVENS CENTER","ALF","9/8/2020",0,0,3
NA,"Desoto","Florida","M & R PERSONAL CARE INC","ALF","9/8/2020",3,2,1
NA,"Desoto","Florida","DESOTO HEALTH AND REHAB","NH","9/7/2020",18,2,7
NA,"Duval","Florida","AVANTE VILLA AT JACKSONVILLE BEACH INC","NH","9/8/2020",7,10,0
NA,"Duval","Florida","ATRIA PARK OF SAN PABLO","ALF","9/5/2020",3,0,3
NA,"Duval","Florida","BROOKDALE AVONDALE","ALF","9/8/2020",0,1,0
NA,"Duval","Florida","BARTRAM CROSSING","NH","9/8/2020",0,3,0
NA,"Duval","Florida","BARTRAM LAKES ASSISTED LIVING","ALF","9/8/2020",0,4,0
NA,"Duval","Florida","BROOKDALE ATRIUM WAY 2","NH","9/8/2020",7,13,0
NA,"Duval","Florida","CAMELLIA AT DEERWOOD","ALF","9/8/2020",0,0,23
NA,"Duval","Florida","BROOKDALE MANDARIN CENTRAL","ALF","9/8/2020",0,0,1
NA,"Duval","Florida","BROOKDALE SOUTHPOINT","ALF","9/8/2020",0,5,0
NA,"Duval","Florida","BROOKDALE SOUTHSIDE","ALF","9/8/2020",0,2,0
NA,"Duval","Florida","DIVERSITY ME","ALF","9/8/2020",3,0,0
NA,"Duval","Florida","DOLPHIN POINTE HEALTH CARE CENTER","NH","9/8/2020",51,19,0
NA,"Duval","Florida","EDGEWOOD NURSING CENTER","NH","9/8/2020",8,1,0
NA,"Duval","Florida","ELMCROFT OF TIMBERLIN PARC","ALF","9/8/2020",0,7,0
NA,"Duval","Florida","FANNIE E. TAYLOR HOME FOR THE AGED-TAYLOR MANOR, INC.","ALF","9/8/2020",0,0,1
NA,"Duval","Florida","FIRST COAST HEALTH AND REHABILITATION CENTER","NH","9/8/2020",0,17,1
NA,"Duval","Florida","FLORIDA MENTOR","ICF","9/7/2020",0,0,1
NA,"Duval","Florida","FLORIDA MENTOR","ICF","9/7/2020",0,0,3
NA,"Duval","Florida","FLORIDA MENTOR","ICF","9/8/2020",0,1,2
NA,"Duval","Florida","HARBORCHASE OF MANDARIN","ALF","9/8/2020",4,4,1
NA,"Duval","Florida","HARTS HARBOR HEALTH CARE CENTER","NH","9/8/2020",0,13,0
NA,"Duval","Florida","HEALTHCARE CENTER OF JACKSONVILLE","NH","9/8/2020",3,0,5
NA,"Duval","Florida","HEARTLAND HEALTH CARE CENTER - JACKSONVILLE","NH","9/8/2020",0,21,0
NA,"Duval","Florida","HEARTLAND HEALTH CARE CENTER OF SOUTH JACKSONVILLE","NH","9/8/2020",11,5,1
NA,"Duval","Florida","INN AT CYPRESS VILLAGE, THE","ALF","9/8/2020",0,0,5
NA,"Duval","Florida","JACKSONVILLE NURSING AND REHAB CENTER","NH","9/8/2020",0,21,53
NA,"Duval","Florida","KINGS HOUSE II","ALF","9/8/2020",0,2,1
NA,"Duval","Florida","LAKESIDE NURSING AND REHABILITATION CENTER","NH","9/8/2020",0,4,0
NA,"Duval","Florida","LANIER REHABILITATION CENTER","NH","9/8/2020",0,2,0
NA,"Duval","Florida","LIFE CARE CENTER OF JACKSONVILLE","NH","9/8/2020",18,3,18
NA,"Duval","Florida","ORTEGA GARDENS ALZHEIMER'S SPECIAL CARE CENTER","ALF","9/8/2020",0,0,3
NA,"Duval","Florida","PALM GARDEN OF JACKSONVILLE","NH","9/8/2020",0,2,0
NA,"Duval","Florida","REGENTS PARK OF JACKSONVILLE","NH","9/8/2020",14,5,3
NA,"Duval","Florida","RIVER CITY REHAB CENTER","NH","9/8/2020",0,0,2
NA,"Duval","Florida","RIVER GARDEN HEBREW HOME FOR THE AGED","NH","9/8/2020",0,0,1
NA,"Duval","Florida","RIVERWOOD CENTER","NH","9/8/2020",67,17,17
NA,"Duval","Florida","ROSECASTLE AT DEERWOOD","ALF","9/8/2020",0,0,1
NA,"Duval","Florida","SAN JOSE GARDENS ALZHEIMER'S SPECIAL CARE CENTER","ALF","9/7/2020",0,3,1
NA,"Duval","Florida","SIGNATURE HEALTHCARE OF JACKSONVILLE","NH","9/8/2020",17,2,0
NA,"Duval","Florida","SOME PLACE LIKE HOME, INC 3","ALF","9/8/2020",0,0,1
NA,"Duval","Florida","ST CATHERINE LABOURE MANOR INC","NH","9/8/2020",2,11,4
NA,"Duval","Florida","STARLING AT SAN JOSE","ALF","9/3/2020",0,0,9
NA,"Duval","Florida","TAYLOR CARE CENTER","NH","9/8/2020",0,32,0
NA,"Duval","Florida","TERRACE OF JACKSONVILLE, THE","NH","9/8/2020",16,0,3
NA,"Duval","Florida","THE COVE AT MARSH LANDING","ALF","9/8/2020",0,2,2
NA,"Duval","Florida","THE INN AT AGING GRACE","ALF","9/8/2020",0,2,2
NA,"Duval","Florida","UNIVERSITY CROSSING","NH","9/8/2020",0,12,2
NA,"Duval","Florida","WINDSOR AT ORTEGA","ALF","9/8/2020",0,4,0
NA,"Duval","Florida","WINDSOR AT SAN PABLO","ALF","9/8/2020",3,0,10
NA,"Duval","Florida","WOODLAND GROVE HEALTH & REHABILITATION CENTER","NH","9/8/2020",13,2,5
NA,"Duval","Florida","WYNDHAM LAKES JACKSONVILLE","ALF","9/8/2020",4,0,2
NA,"Duval","Florida","CROSS CARE CENTER","NH","9/8/2020",0,1,2
NA,"Duval","Florida","CATHEDRAL GERONTOLOGY CENTER, INC","NH","9/8/2020",24,4,8
NA,"Duval","Florida","CONSULATE HEALTH CARE OF JACKSONVILLE","NH","9/8/2020",0,4,8
NA,"Escambia","Florida","CARE WAY","ALF","9/8/2020",0,2,0
NA,"Escambia","Florida","CENTURY CENTER FOR REHABILITATION AND HEALING","NH","9/8/2020",7,1,4
NA,"Escambia","Florida","FLORIDA MENTOR","ICF","9/8/2020",0,0,3
NA,"Escambia","Florida","FLORIDA MENTOR","ICF","9/8/2020",0,0,5
NA,"Escambia","Florida","CONSULATE HEALTH CARE OF PENSACOLA","NH","9/8/2020",0,26,2
NA,"Escambia","Florida","DE LUNA HEALTH AND REHABILITATION CENTER","NH","9/8/2020",46,0,0
NA,"Escambia","Florida","LAURELWOOD ASSISTED LIVING FACILITY, INC","ALF","9/8/2020",0,0,1
NA,"Escambia","Florida","NEW HORIZONS OF NORTHWEST FLORIDA, INC.","ICF","9/8/2020",1,2,19
NA,"Escambia","Florida","FLORIDA MENTOR","ICF","9/8/2020",2,0,9
NA,"Escambia","Florida","HAVEN OF OUR LADY OF PEACE","NH","9/8/2020",0,0,1
NA,"Escambia","Florida","ARCADIA HEALTH & REHABILITATION CENTER","NH","9/8/2020",0,0,1
NA,"Escambia","Florida","ROSEWOOD HEALTHCARE AND REHABILITATION CENTER","NH","9/8/2020",15,0,1
NA,"Escambia","Florida","SOLARIS HEALTHCARE PENSACOLA","NH","9/8/2020",13,2,2
NA,"Escambia","Florida","SOUTHERN OAKS CARE CENTER","NH","9/8/2020",0,4,0
NA,"Escambia","Florida","SPECIALTY HEALTH AND REHABILITATION CENTER","NH","9/8/2020",11,1,6
NA,"Escambia","Florida","SUMMER VISTA ASSISTED LIVING COMMUNITY","ALF","9/8/2020",0,2,0
NA,"Escambia","Florida","THE RESIDENCE","ALF","9/8/2020",0,0,1
NA,"Escambia","Florida","THE RHEMA HOUSE ASSISTED LIVING FACILITY, INC","ALF","9/8/2020",0,0,2
NA,"Escambia","Florida","THE WATERFORD AT CREEKSIDE","ALF","8/17/2020",0,2,0
NA,"Escambia","Florida","UNIVERSITY HILLS HEALTH AND REHABILITATION","NH","9/8/2020",0,4,0
NA,"Escambia","Florida","VERANDA OF PENSACOLA, INC","ALF","9/7/2020",0,0,2
NA,"Escambia","Florida","OLIVE BRANCH HEALTH AND REHABILITATION CENTER","NH","9/7/2020",0,3,11
NA,"Escambia","Florida","PENSACOLA DEVELOPMENTAL CENTER","ICF","9/8/2020",0,4,0
NA,"Escambia","Florida","REHABILITATION CENTER AT PARK PLACE","NH","9/8/2020",0,26,0
NA,"Escambia","Florida","WESTPOINTE RETIREMENT COMMUNITY INC","ALF","9/8/2020",0,1,0
NA,"Escambia","Florida","YOURLIFE OF PENSACOLA","ALF","9/8/2020",0,3,7
NA,"Flagler","Florida","GENTLE CARE ASSISTED LIVING INC. 2","ALF","9/8/2020",1,1,0
NA,"Flagler","Florida","GRAND OAKS HEALTH AND REHABILITATION CENTER","NH","9/8/2020",17,4,4
NA,"Flagler","Florida","GENTLE CARE ASSISTED LIVING 3","ALF","9/8/2020",0,0,1
NA,"Flagler","Florida","MARKET STREET PALM COAST","ALF","9/8/2020",0,0,1
NA,"Flagler","Florida","TUSCAN GARDENS OF PALM COAST","ALF","9/8/2020",6,1,0
NA,"Gadsden","Florida","RIVERCHASE HEALTH AND REHABILITATION CENTER","NH","9/7/2020",0,0,2
NA,"Gadsden","Florida","PARADISE OASIS LLC","ALF","9/8/2020",1,0,0
NA,"Gilchrist","Florida","AYERS HEALTH AND REHABILITATION CENTER","NH","9/8/2020",1,0,0
NA,"Gilchrist","Florida","TRI-COUNTY NURSING HOME","NH","9/8/2020",1,1,0
NA,"Gulf","Florida","OUR HOME AT BEACON HILL","ALF","9/8/2020",0,0,2
NA,"Gulf","Florida","CROSS SHORES CARE CENTER","NH","9/8/2020",0,2,4
NA,"Hardee","Florida","LAKESIDE NEUROLOGIC","NH","9/8/2020",0,0,1
NA,"Hardee","Florida","HARDEE MANOR HEALTHCARE CENTER","NH","9/8/2020",0,3,2
NA,"Hendry","Florida","CLEWISTON NURSING & REHABILITATION","NH","9/8/2020",4,0,0
NA,"Hernando","Florida","BROOKSVILLE HEALTHCARE CENTER","NH","9/8/2020",19,0,1
NA,"Hernando","Florida","EVERGREEN WOODS","NH","9/8/2020",2,26,3
NA,"Hernando","Florida","NOBLE SENIOR LIVING AT BROOKSVILLE","ALF","9/8/2020",2,1,0
NA,"Hernando","Florida","NORTHBROOK CENTER for REHABILITATION and HEALING","NH","9/8/2020",0,18,1
NA,"Hernando","Florida","FOREST OAKS OF SPRING HILL","ALF","9/8/2020",5,1,6
NA,"Hernando","Florida","HERON POINTE HEALTH AND REHABILITATION","NH","9/8/2020",0,4,28
NA,"Hernando","Florida","SPRINGHILL ASSISTED LIVING FACILITY","ALF","9/7/2020",4,0,0
NA,"Hernando","Florida","RESIDENCE AT TIMBER PINES (THE)","ALF","9/8/2020",0,2,0
NA,"Hernando","Florida","SPRING OAKS","ALF","8/13/2020",5,0,9
NA,"Hernando","Florida","ATRIA EVERGREEN WOODS","ALF","9/7/2020",1,0,0
NA,"Highlands","Florida","FAMILY EXTENDED CARE OF SEBRING INC","ALF","9/8/2020",0,0,1
NA,"Highlands","Florida","ROYAL CARE OF AVON PARK","NH","9/8/2020",0,0,5
NA,"Highlands","Florida","LAKE PLACID HEALTH AND REHABILITATION CENTER","NH","9/8/2020",0,2,4
NA,"Highlands","Florida","OAKS AT AVON","NH","9/8/2020",0,0,2
NA,"Highlands","Florida","PALMS OF SEBRING (THE)","ALF","9/8/2020",0,0,1
NA,"Hillsborough","Florida","ALIMAR ASSISTED LIVING","ALF","9/8/2020",0,1,0
NA,"Hillsborough","Florida","AUSTIN GROUP (THE)","ALF","9/8/2020",0,0,1
NA,"Hillsborough","Florida","ANGELS SENIOR LIVING AT NEW TAMPA, LLC","ALF","9/8/2020",0,12,0
NA,"Hillsborough","Florida","ARDEN COURTS OF TAMPA","ALF","9/4/2020",0,0,1
NA,"Hillsborough","Florida","ATRIUM GARDENS ALF LLC","ALF","9/8/2020",5,6,0
NA,"Hillsborough","Florida","BRIGHTON GARDENS OF TAMPA","ALF","9/8/2020",0,1,1
NA,"Hillsborough","Florida","BAMBOO VILLAS ASSISTED LIVING FACILITY, LLC","ALF","9/8/2020",1,0,0
NA,"Hillsborough","Florida","BAYSHORE POINTE NURSING AND REHAB CENTER","NH","9/8/2020",0,14,0
NA,"Hillsborough","Florida","BRANDON HEALTH AND REHABILITATION CENTER","NH","9/8/2020",0,0,2
NA,"Hillsborough","Florida","BUENA VIDA CARE CORP","ALF","9/4/2020",2,2,2
NA,"Hillsborough","Florida","CARROLLWOOD CARE CENTER","NH","9/8/2020",2,14,2
NA,"Hillsborough","Florida","CENTRAL PARK HEALTHCARE AND REHABILITATION CENTER","NH","9/8/2020",0,18,29
NA,"Hillsborough","Florida","CONCORDIA VILLAGE OF TAMPA","NH","9/8/2020",0,4,0
NA,"Hillsborough","Florida","CONSULATE HEALTH CARE OF BRANDON","NH","9/8/2020",8,28,28
NA,"Hillsborough","Florida","COSTA DEL SOL ASSISTED LIVING","ALF","9/7/2020",2,2,3
NA,"Hillsborough","Florida","COVENTRY ASSISTED LIVING","ALF","9/8/2020",0,6,0
NA,"Hillsborough","Florida","COX ADULT LIVING FACILITY","ALF","9/8/2020",0,0,1
NA,"Hillsborough","Florida","DANIELLA'S LIFE ALF, LLC","ALF","8/20/2020",1,2,0
NA,"Hillsborough","Florida","DISCOVERY VILLAGE AT TAMPA PALMS","ALF","9/8/2020",0,0,1
NA,"Hillsborough","Florida","BRIGHTON GARDENS OF TAMPA","NH","9/8/2020",0,0,1
NA,"Hillsborough","Florida","BRISTOL AT TAMPA REHABILITATION AND NURSING CENTER LLC, THE","NH","9/8/2020",3,2,0
NA,"Hillsborough","Florida","BROOKDALE BAYSHORE","ALF","9/7/2020",0,0,1
NA,"Hillsborough","Florida","ERIKA'S HOUSE ALF","ALF","9/8/2020",5,0,1
NA,"Hillsborough","Florida","FAIRWAY OAKS CENTER","NH","9/8/2020",0,37,4
NA,"Hillsborough","Florida","FEELS LIKE HOME IN TAMPA ALF INC","ALF","9/8/2020",0,0,1
NA,"Hillsborough","Florida","FLETCHER HEALTH AND REHABILITATION CENTER","NH","9/8/2020",0,20,17
NA,"Hillsborough","Florida","FREEDOM PLAZA ASSISTED LIVING AND MEMORY CARE","ALF","9/8/2020",0,5,0
NA,"Hillsborough","Florida","GANDY CROSSING CARE CENTER","NH","9/8/2020",24,0,0
NA,"Hillsborough","Florida","HANNA OAKS CENTER for INDEPENDENT and ASSISTED LIVING","ALF","9/8/2020",0,9,0
NA,"Hillsborough","Florida","HAWTHORNE HEALTH AND REHAB OF BRANDON","NH","9/8/2020",0,14,18
NA,"Hillsborough","Florida","HAWTHORNE INN OF BRANDON","ALF","9/8/2020",0,0,1
NA,"Hillsborough","Florida","HERNANDEZ ALF","ALF","9/8/2020",1,4,0
NA,"Hillsborough","Florida","HOME ASSOCIATION, THE","NH","9/8/2020",15,0,4
NA,"Hillsborough","Florida","INSPIRED LIVING AT TAMPA","ALF","9/8/2020",0,2,0
NA,"Hillsborough","Florida","KR AT HILLSBOROUGH LAKES","NH","9/8/2020",8,5,22
NA,"Hillsborough","Florida","LEGACY AT HIGHWOODS PRESERVE","ALF","9/8/2020",1,1,0
NA,"Hillsborough","Florida","MARY DUNBAR ASSISTED LIVING","ALF","8/6/2020",0,1,0
NA,"Hillsborough","Florida","MEMORY LANE COTTAGE AT TAMPA PALMS, LLC","ALF","9/8/2020",0,3,0
NA,"Hillsborough","Florida","MICHT CORP","ALF","9/8/2020",1,0,0
NA,"Hillsborough","Florida","MIS ABUELOS HOME CARE CORP","ALF","9/7/2020",0,0,1
NA,"Hillsborough","Florida","NORTHDALE REHABILITATION CENTER","NH","9/8/2020",0,2,0
NA,"Hillsborough","Florida","PALM AVENUE BAPTIST TOWER ALF","ALF","9/8/2020",0,1,0
NA,"Hillsborough","Florida","PALM GARDEN OF SUN CITY","NH","9/8/2020",0,6,0
NA,"Hillsborough","Florida","PATTY'S HOUSE #2, LLC","ALF","9/4/2020",2,0,3
NA,"Hillsborough","Florida","PERSON TO PERSON CARE CENTER, LLC","ALF","9/1/2020",0,0,1
NA,"Hillsborough","Florida","PLAZA WEST HEALTH CENTER","NH","9/8/2020",0,16,2
NA,"Hillsborough","Florida","PROMISE POINTE AT TAMPA OAKS","ALF","9/7/2020",0,3,0
NA,"Hillsborough","Florida","REHABILITATION AND HEALTHCARE CENTER OF TAMPA","NH","9/8/2020",0,4,1
NA,"Hillsborough","Florida","ROCKY CREEK VILLAGE","ALF","9/8/2020",3,0,2
NA,"Hillsborough","Florida","ROSECASTLE AT DELANEY CREEK","ALF","9/8/2020",0,0,1
NA,"Hillsborough","Florida","ROYAL SUN PARK ASSISTED LIVING FACILITY","ALF","9/7/2020",0,7,0
NA,"Hillsborough","Florida","SAINT LAZARUS ALF","ALF","9/8/2020",1,0,0
NA,"Hillsborough","Florida","SAN JOSE ALF INC","ALF","9/8/2020",0,1,0
NA,"Hillsborough","Florida","SOLARIS HEALTHCARE PLANT CITY","NH","9/8/2020",0,6,2
NA,"Hillsborough","Florida","STONE LEDGE MANOR","ALF","9/8/2020",0,11,8
NA,"Hillsborough","Florida","SUN TERRACE HEALTH CARE CENTER","NH","9/8/2020",0,0,1
NA,"Hillsborough","Florida","SUN TOWERS RETIREMENT COMMUNITY","ALF","9/8/2020",0,0,1
NA,"Hillsborough","Florida","SUPERIOR RESIDENCES OF BRANDON MEMORY CARE","ALF","9/8/2020",0,19,1
NA,"Hillsborough","Florida","TAMPA LAKES HEALTH AND REHABILITATION CENTER","NH","9/8/2020",0,8,20
NA,"Hillsborough","Florida","THE COLONNADE AT NORTHDALE","ALF","9/4/2020",0,11,0
NA,"Hillsborough","Florida","THE INN AT UNIVERSITY VILLAGE","ALF","9/8/2020",16,0,1
NA,"Hillsborough","Florida","WHISPERING OAKS","NH","9/8/2020",0,8,0
NA,"Hillsborough","Florida","WOODBRIDGE CARE CENTER","NH","9/8/2020",14,0,0
NA,"Hillsborough","Florida","YBOR CITY CENTER FOR REHABILITATION AND HEALING","NH","9/8/2020",4,3,0
NA,"Hillsborough","Florida","EL OASIS ALF III INC","ALF","9/8/2020",0,1,4
NA,"Hillsborough","Florida","DISCOVERY VILLAGE AT WESTCHASE","ALF","9/8/2020",0,0,4
NA,"Hillsborough","Florida","DORA ASSISTED LIVING FACILITY INC","ALF","9/8/2020",0,0,1
NA,"Holmes","Florida","BONIFAY NURSING AND REHAB CENTER","NH","9/8/2020",9,5,1
NA,"Indian River","Florida","BROOKDALE VERO BEACH SOUTH","ALF","9/8/2020",1,0,0
NA,"Indian River","Florida","GRACE REHABILITATION CENTER OF VERO BEACH","NH","9/8/2020",0,1,0
NA,"Indian River","Florida","BROOKDALE VERO BEACH SOUTH","ALF","9/8/2020",0,1,0
NA,"Indian River","Florida","CONSULATE HEALTH CARE OF VERO BEACH","NH","9/8/2020",0,12,2
NA,"Indian River","Florida","FLORIDA BAPTIST RETIREMENT CENTER, INC.","NH","9/8/2020",0,3,0
NA,"Indian River","Florida","PALM GARDEN OF VERO BEACH","NH","9/8/2020",0,8,1
NA,"Indian River","Florida","GREEN GABLES ASSISTED LIVING","ALF","9/8/2020",0,1,0
NA,"Indian River","Florida","HARBORCHASE OF VERO BEACH","ALF","9/8/2020",0,6,7
NA,"Indian River","Florida","OAKBRIDGE TERRACE ASSISTED LIVING AT INDIAN RIVER ESTATES","ALF","9/8/2020",0,10,4
NA,"Indian River","Florida","SOLARIS SENIOR LIVING VERO BEACH","ALF","9/8/2020",0,1,0
NA,"Indian River","Florida","PELICAN LANDING ASSISTED LIVING AND MEMORY CARE","ALF","9/8/2020",0,1,0
NA,"Indian River","Florida","RENAISSANCE SENIOR LIVING","ALF","9/8/2020",0,1,2
NA,"Jackson","Florida","MARIANNA HEALTH AND REHABILITATION CENTER","NH","9/8/2020",3,4,0
NA,"Jackson","Florida","CHIPOLA HEALTH AND REHABILITATION CENTER","NH","9/8/2020",0,0,1
NA,"Jackson","Florida","SUNLAND CENTER MARIANNA-FACILITY II","ICF","9/8/2020",2,0,2
NA,"Jackson","Florida","SIGNATURE HEALTHCARE AT THE COURTYARD","NH","9/8/2020",0,1,5
NA,"Jackson","Florida","SIGNATURE HEALTHCARE OF NORTH FLORIDA","NH","9/8/2020",0,2,3
NA,"Jackson","Florida","SUNLAND CENTER MARIANNA-FAC I","ICF","9/8/2020",0,0,1
NA,"Jackson","Florida","SUNLAND CENTER MARIANNA-FACILITY IV","ICF","9/8/2020",0,0,1
NA,"Jefferson","Florida","CROSS LANDINGS HEALTH AND REHABILITATION CENTER","NH","9/8/2020",0,0,1
NA,"Lafayette","Florida","LAFAYETTE NURSING AND REHABILITATION CENTER","NH","9/8/2020",16,0,6
NA,"Lake","Florida","AdVENTHEALTH CARE CENTER WATERMAN","NH","9/7/2020",0,2,1
NA,"Lake","Florida","CLERMONT HEALTH AND REHABILITATION CENTER","NH","9/8/2020",0,4,0
NA,"Lake","Florida","FREEDOM POINTE HEALTH CENTER","NH","9/8/2020",0,0,2
NA,"Lake","Florida","LADY LAKE SPECIALTY CARE CENTER","NH","9/8/2020",12,24,4
NA,"Lake","Florida","LAKE EUSTIS HEALTH AND REHABILITATION CENTER","NH","9/8/2020",0,1,0
NA,"Lake","Florida","LAKE HARRIS HEALTH CENTER","NH","9/8/2020",1,0,2
NA,"Lake","Florida","LAKES OF CLERMONT HEALTH AND REHABILITATION CENTER, THE","NH","9/8/2020",0,0,7
NA,"Lake","Florida","LAKEVIEW TERRACE REHABILITATION AND HEALTH CARE CENTER","NH","9/8/2020",0,0,1
NA,"Lake","Florida","OSPREY LODGE","ALF","9/8/2020",0,0,1
NA,"Lake","Florida","RULEME CENTER","NH","9/8/2020",7,8,3
NA,"Lake","Florida","SHADY LANE RETIREMENT HOME","ALF","9/8/2020",0,0,1
NA,"Lake","Florida","AVANTE AT LEESBURG, INC","NH","9/8/2020",14,0,4
NA,"Lake","Florida","AVANTE AT MT DORA, INC.","NH","9/8/2020",9,13,1
NA,"Lake","Florida","BENTON HOUSE OF CLERMONT","ALF","9/8/2020",0,0,2
NA,"Lake","Florida","VISTA LAKE","ALF","9/8/2020",0,1,0
NA,"Lake","Florida","VISTA LAKE","ALF","9/8/2020",0,5,0
