"County","Facility","Provider Type","Update","Positive Residents","Positive Residents Transferred","Positive Staff"
"LEON","SUNRISE COMMUNITY, INC.","ICF","6/8/2020 2:55","0","0","1"
"LEON","TALLAHASSEE DEVELOPMENTAL CENTER","ICF","6/8/2020 14:04","15","0","11"
"LEON","WOODMONT A PACIFICA SENIOR LIVING COMMUNITY","ALF","6/7/2020 3:55","0","0","1"
"LEVY","WILLISTON CARE CENTER","NH","6/8/2020 14:33","0","2","7"
"MADISON","CROSSWINDS HEALTH AND REHABILITATION CENTER","NH","6/8/2020 10:54","0","0","1"
"MADISON","LAKE PARK OF MADISON NURSING AND REHABILITATION CENTER","NH","6/8/2020 13:35","3","2","2"
"MANATEE","BAY VUE NURSING AND REHABILITATION CENTER","NH","6/8/2020 13:33","0","0","1"
"MANATEE","BRADEN RIVER REHABILITATION CENTER LLC","NH","6/8/2020 13:56","0","21","1"
"MANATEE","BRADENTON HEALTH CARE","NH","6/8/2020 12:20","0","15","0"
"MANATEE","BROOKDALE BRADENTON GARDENS","ALF","6/8/2020 14:33","0","5","0"
"MANATEE","BROOKDALE PALMA SOLA","ALF","6/8/2020 12:08","1","1","0"
"MANATEE","CASA MORA REHABILITATION AND EXTENDED CARE","NH","6/8/2020 12:10","9","0","9"
"MANATEE","DISCOVERY VILLAGE AT SARASOTA BAY","ALF","6/8/2020 14:00","1","0","1"
"MANATEE","HERITAGE PARK CARE AND REHABILITATION CENTER","NH","6/5/2020 14:48","5","4","11"
"MANATEE","INN AT FREEDOM VILLAGE, THE","NH","6/8/2020 18:11","0","0","1"
"MANATEE","LILY'S PROMISE LLC","ALF","6/7/2020 14:40","0","0","1"
"MANATEE","MANATEE SPRINGS REHABILITATION AND NURSING CENTER","NH","6/8/2020 12:30","19","13","9"
"MANATEE","NATIONAL CHURCH RESIDENCES OF BRADENTON FL INC","ALF","6/8/2020 13:49","13","0","6"
"MANATEE","NEURORESTORATIVE FLORIDA","ALF","6/8/2020 10:21","0","0","1"
"MANATEE","RIVIERA PALMS REHABILITATION CENTER","NH","6/8/2020 14:03","0","15","0"
"MANATEE","SUMMERFIELD RETIREMENT","ALF","6/8/2020 15:54","0","3","1"
"MANATEE","SURREY PLACE HEALTHCARE AND REHABILITATION","NH","6/8/2020 11:21","0","1","0"
"MANATEE","VILLAS OF HOLLY BROOK - BRADENTON COVE","ALF","6/8/2020 13:28","0","1","2"
"MARION","BRIDGEWATER PARK HEALTH & REHABILITATION CENTER","NH","6/8/2020 14:47","0","0","1"
"MARION","OAKHURST CENTER","NH","6/8/2020 13:40","1","1","0"
"MARION","PADDOCK RIDGE","ALF","6/8/2020 11:01","0","0","5"
"MARION","PALM GARDEN OF OCALA","NH","6/8/2020 14:43","0","7","9"
"MARTIN","ADDINGTON PLACE STUART","ALF","6/8/2020 16:49","0","0","1"
"MARTIN","BROOKDALE STUART","ALF","6/8/2020 13:20","0","0","3"
"MARTIN","DISCOVERY VILLAGE AT STUART","ALF","6/8/2020 9:39","0","0","1"
"MARTIN","GRAND OAKS OF PALM CITY LLC","ALF","6/8/2020 13:13","0","3","1"
"MARTIN","HOBE SOUND MANOR","ALF","6/8/2020 11:32","2","2","2"
"MARTIN","MARTIN NURSING AND REHABILITATION","NH","6/8/2020 13:31","0","0","4"
"MARTIN","PALM CITY NURSING AND REHAB CENTER","NH","6/8/2020 12:31","0","1","1"
"MARTIN","SALERNO BAY HEALTH AND REHABILITATION CENTER","NH","6/8/2020 13:11","3","0","3"
"MARTIN","SOLARIS HEALTHCARE PARKWAY","NH","6/8/2020 14:02","0","0","4"
"MARTIN","STUART LODGE","ALF","6/8/2020 13:52","0","0","1"
"MARTIN","TERRACE AT HOBE SOUND, THE","NH","6/8/2020 14:24","4","1","15"
"MARTIN","YOURLIFE OF STUART","ALF","6/8/2020 0:27","5","0","7"
"MIAMI-DADE","ARCH PLAZA NURSING & REHABILITATION CENTER","NH","6/8/2020 11:01","0","5","2"
"MIAMI-DADE","AVENTURA REHAB AND NURSING CENTER","NH","6/8/2020 15:02","0","3","3"
"MIAMI-DADE","BLUE POINT HOME CARE INC","ALF","6/8/2020 12:16","0","1","0"
"MIAMI-DADE","CLARIDGE HOUSE NURSING & REHABILITATION CENTER","NH","6/8/2020 14:43","25","44","4"
"MIAMI-DADE","CORAL GABLES NURSING AND REHABILITATION CENTER","NH","6/8/2020 14:25","7","0","8"
"MIAMI-DADE","CORAL REEF NURSING & REHABILITATION CENTER","NH","6/8/2020 13:55","0","16","19"
"MIAMI-DADE","CROSS GARDENS CARE CENTER","NH","6/8/2020 13:33","18","8","8"
"MIAMI-DADE","EAST RIDGE RETIREMENT VILLAGE INC","NH","6/8/2020 14:12","0","0","2"
"MIAMI-DADE","EAST RIDGE RETIREMENT VILLAGE, INC","ALF","6/8/2020 14:14","0","0","1"
"MIAMI-DADE","EPWORTH VILLAGE RETIREMENT COMMUNITY","ALF","6/8/2020 13:46","0","0","1"
"MIAMI-DADE","FAIR HAVENS CENTER","NH","6/8/2020 14:16","0","70","40"
"MIAMI-DADE","FLORIDEAN NURSING AND REHABILITATION CENTER, THE","NH","6/8/2020 13:47","0","5","0"
"MIAMI-DADE","FOUNTAIN MANOR HEALTH & REHABILITATION CENTER","NH","6/8/2020 14:04","2","4","10"
"MIAMI-DADE","FRANCO NURSING & REHABILITATION CENTER","NH","6/8/2020 18:23","4","4","4"
"MIAMI-DADE","GARDEN VALLEY RETIREMENT HOME LLC","ALF","6/5/2020 11:16","0","0","1"
"MIAMI-DADE","GOLDEN GLADES NURSING AND REHABILITATION CENTER","NH","6/8/2020 13:14","16","3","12"
"MIAMI-DADE","HAMPTON COURT NURSING AND REHABILITATION CENTER","NH","6/8/2020 11:36","0","1","0"
"MIAMI-DADE","HARMONY HEALTH CENTER","NH","6/8/2020 14:55","2","2","0"
"MIAMI-DADE","HAZEL CYPEN TOWER","ALF","6/8/2020 12:52","0","3","0"
"MIAMI-DADE","HIALEAH ALF INC","ALF","6/8/2020 12:47","1","1","0"
"MIAMI-DADE","HIALEAH NURSING AND REHABILITATION CENTER","NH","6/8/2020 16:46","0","126","72"
"MIAMI-DADE","HOGAR DE AMABLE CONSUELO CORP","ALF","6/8/2020 12:31","0","0","1"
"MIAMI-DADE","IMPERIAL CLUB","ALF","6/8/2020 14:01","0","0","1"
"MIAMI-DADE","J R FAMILY CARE INC","ALF","6/8/2020 13:55","1","0","0"
"MIAMI-DADE","JACKSON MEMORIAL LONG TERM CARE CENTER","NH","6/8/2020 12:39","0","2","2"
"MIAMI-DADE","JACKSON PLAZA NURSING AND REHABILITATION CENTER","NH","6/8/2020 12:09","0","15","1"
"MIAMI-DADE","KENDALL LAKES HEALTH AND REHABILITATION CENTER","NH","6/8/2020 16:05","0","1","0"
"MIAMI-DADE","KRYSTAL BAY NURSING AND REHABILITATION","NH","6/8/2020 14:00","0","1","12"
"MIAMI-DADE","LOG CABIN ENTERPRISES, INC.","ICF","6/8/2020 14:44","5","0","8"
"MIAMI-DADE","MAUD'S PLACE","ALF","6/8/2020 12:43","0","1","0"
"MIAMI-DADE","MERRY ONE ALF","ALF","6/8/2020 21:02","1","0","0"
"MIAMI-DADE","MIAMI ASTURIAS HOME INC","ALF","6/8/2020 12:06","1","0","1"
"MIAMI-DADE","MIAMI CEREBRAL PALSY RESIDENTIAL SERVICES, INC.","ICF","6/8/2020 14:03","0","0","1"
"MIAMI-DADE","MIAMI CEREBRAL PALSY RESIDENTIAL SERVICES, INC.","ICF","6/8/2020 14:00","0","0","2"
"MIAMI-DADE","MIAMI JEWISH HEALTH SYSTEMS, INC.","NH","6/8/2020 13:09","2","1","0"
"MIAMI-DADE","MIAMI SHORES NURSING AND REHAB CENTER","NH","6/8/2020 17:27","0","13","6"
"MIAMI-DADE","MIAMI-DADE COUNTY","ALF","6/8/2020 15:33","0","0","2"
"MIAMI-DADE","NEW ERA COMMUNITY HEALTH CENTER LLC","ALF","6/8/2020 12:38","0","10","0"
"MIAMI-DADE","NORMANDY ESTATES ASSISTED LIVING LLC","ALF","6/8/2020 14:58","0","0","1"
"MIAMI-DADE","NORTH BEACH REHABILITATION CENTER","NH","6/8/2020 13:33","0","20","14"
"MIAMI-DADE","NORTH DADE NURSING AND REHABILITATION CENTER","NH","6/8/2020 13:25","18","8","11"
"MIAMI-DADE","NSPIRE HEALTHCARE KENDALL","NH","6/8/2020 12:23","0","23","18"
"MIAMI-DADE","NSPIRE HEALTHCARE MIAMI LAKES","NH","6/8/2020 17:20","13","38","13"
"MIAMI-DADE","PALACE AT HOMESTEAD, LLC","ALF","6/8/2020 14:10","1","0","0"
"MIAMI-DADE","PALM BREEZE A.L.F.","ALF","6/8/2020 12:37","0","13","5"
"MIAMI-DADE","PALM GARDEN OF AVENTURA","NH","6/8/2020 12:49","1","1","1"
"MIAMI-DADE","PALMETTO CARE CENTER","NH","6/8/2020 14:01","0","2","5"
"MIAMI-DADE","PALMETTO SUBACUTE CARE CENTER","NH","6/8/2020 12:06","8","37","27"
"MIAMI-DADE","PAVILION GARDENS","ALF","6/8/2020 15:22","0","1","0"
"MIAMI-DADE","PINECREST REHABILITATION CENTER","NH","6/8/2020 14:41","0","14","15"
"MIAMI-DADE","PINES NURSING HOME","NH","6/8/2020 13:16","1","6","3"
"MIAMI-DADE","POINTE OF NORTH GABLES","ALF","6/8/2020 12:57","10","34","10"
"MIAMI-DADE","PONCE PLAZA NURSING & REHABILITATION CENTER","NH","6/8/2020 14:49","0","9","11"
"MIAMI-DADE","PROFESSIONAL HOME CARE I","ALF","6/8/2020 13:40","0","1","0"
"MIAMI-DADE","REGENTS PARK AT AVENTURA","NH","6/8/2020 13:44","18","17","7"
"MIAMI-DADE","RESIDENTIAL PLAZA AT BLUE LAGOON","ALF","6/8/2020 13:54","1","0","2"
"MIAMI-DADE","RIVERSIDE CARE CENTER","NH","6/8/2020 12:52","0","0","1"
"MIAMI-DADE","RIVIERA HEALTH RESORT","NH","6/8/2020 13:57","1","1","2"
"MIAMI-DADE","SALMO 23 ELDER CARE","ALF","6/8/2020 13:44","0","21","5"
"MIAMI-DADE","SALMO 23 NO. 2, LLC.","ALF","6/8/2020 13:37","0","12","7"
"MIAMI-DADE","SANDS AT SOUTH BEACH CARE CENTER, THE","NH","6/8/2020 13:16","30","12","29"
"MIAMI-DADE","SIGNATURE HEALTHCARE CENTER OF WATERFORD","NH","6/8/2020 12:28","32","28","57"
"MIAMI-DADE","SIGNATURE HEALTHCARE OF BROOKWOOD GARDENS","NH","6/8/2020 13:46","30","15","21"
"MIAMI-DADE","SINAI PLAZA NURSING AND REHAB CENTER","NH","6/8/2020 17:12","1","16","3"
"MIAMI-DADE","SOUTH DADE NURSING AND REHABILITATION CENTER","NH","6/8/2020 12:02","3","2","2"
"MIAMI-DADE","ST ANNES NURSING CENTER, ST ANNES RESIDENCE INC","NH","6/8/2020 13:43","0","0","3"
"MIAMI-DADE","STERLING AVENTURA","ALF","6/5/2020 22:39","1","0","2"
"MIAMI-DADE","SUN COAST","ALF","6/8/2020 13:40","0","3","1"
"MIAMI-DADE","SUNSHINE ELDERLY RESIDENCES, CORP","ALF","6/8/2020 13:16","1","1","0"
"MIAMI-DADE","SUSANNA WESLEY HEALTH CENTER","NH","6/8/2020 20:15","0","22","11"
"MIAMI-DADE","TREASURE ISLE CARE CENTER","NH","6/8/2020 12:52","0","24","13"
"MIAMI-DADE","UNITY HEALTH AND REHABILITATION CENTER","NH","6/8/2020 14:03","35","27","27"
"MIAMI-DADE","UNIVERSITY PLAZA REHABILITATION AND NURSING CENTER, INC","NH","6/8/2020 13:35","0","7","2"
"MIAMI-DADE","VI AT AVENTURA","ALF","6/8/2020 13:49","0","0","1"
"MIAMI-DADE","VI AT AVENTURA","NH","6/8/2020 13:47","0","1","1"
"MIAMI-DADE","VICTORIA NURSING & REHABILITATION CENTER, INC.","NH","6/8/2020 13:11","1","0","2"
"MIAMI-DADE","VILLA MARIA NURSING CENTER","NH","6/8/2020 12:16","4","6","0"
"MIAMI-DADE","VILLA MARIA PIA INC","ALF","6/8/2020 12:37","1","1","0"
"MIAMI-DADE","VILLA MARIA WEST SKILLED NURSING FACILITY","NH","6/8/2020 12:11","0","1","1"
"MIAMI-DADE","VILLA ROSA I, INC.","ALF","6/8/2020 15:27","0","7","0"
"MIAMI-DADE","VILLA ROSA II INC","ALF","6/8/2020 15:28","0","2","0"
"MIAMI-DADE","VILLA ROSA IV, INC","ALF","6/8/2020 15:31","0","0","1"
"MIAMI-DADE","WEST GABLES HEALTH CARE CENTER","NH","6/8/2020 15:39","7","21","10"
"MONROE","CRYSTAL HEALTH AND REHAB CENTER, LLC","NH","6/8/2020 16:08","18","0","8"
"NASSAU","LIFE CARE CENTER OF HILLIARD","NH","6/8/2020 17:13","2","3","5"
"NASSAU","THE LAKESIDE AT AMELIA ISLAND","ALF","6/8/2020 13:23","1","0","3"
"OKALOOSA","DESTIN HEALTHCARE AND REHABILITATION CENTER","NH","6/8/2020 13:33","0","0","1"
"ORANGE","ADVENTHEALTH CARE CENTER APOPKA NORTH","NH","6/8/2020 13:30","0","0","1"
"ORANGE","AJR LOVING CARE ALF INC","ALF","6/8/2020 10:51","0","0","1"
"ORANGE","BROOKDALE CONWAY","ALF","6/8/2020 12:44","2","1","0"
"ORANGE","GENTRY PARK ORLANDO","ALF","6/8/2020 12:23","0","0","2"
"ORANGE","GUARDIAN CARE NURSING & REHABILITATION CENTER","NH","6/8/2020 14:13","0","1","1"
"ORANGE","HARBORCHASE OF DR PHILLIPS","ALF","6/8/2020 13:40","0","0","1"
"ORANGE","MADISON AT OCOEE","ALF","6/8/2020 14:01","0","0","1"
"ORANGE","MAYFLOWER HEALTHCARE CENTER","NH","6/8/2020 14:27","0","0","1"
"ORANGE","ORLANDO HEALTH CENTER FOR REHABILITATION","NH","6/8/2020 15:04","0","0","1"
"ORANGE","PALM GARDEN OF ORLANDO","NH","6/8/2020 14:31","0","1","0"
"ORANGE","PARKVIEW REHABILITATION CENTER AT WINTER PARK","NH","6/8/2020 12:10","0","0","1"
"ORANGE","REHABILITATION CENTER OF WINTER PARK, THE","NH","6/8/2020 8:59","0","0","2"
"ORANGE","ROSEWOOD HEALTH AND REHABILITATION CENTER","NH","6/8/2020 13:43","0","1","1"
"ORANGE","SOLARIS HEALTHCARE LAKE BENNET","NH","6/8/2020 12:45","0","0","1"
"ORANGE","SONATA WEST","ALF","6/8/2020 13:16","0","1","0"
"ORANGE","SPRING HILLS HUNTER'S CREEK","ALF","6/8/2020 14:41","0","0","1"
"ORANGE","TERRA VISTA REHAB AND HEALTH CENTER","NH","6/8/2020 12:56","0","1","1"
"ORANGE","THE ROSE GARDEN OF ORLANDO","ALF","6/8/2020 20:16","0","0","2"
"ORANGE","WESTMINSTER BALDWIN PARK","NH","6/8/2020 13:20","0","0","1"
"ORANGE","WESTMINSTER WINTER PARK","NH","6/8/2020 12:15","0","0","1"
"ORANGE","WESTMINSTER WINTER PARK","ALF","6/8/2020 12:17","0","0","1"
"ORANGE","WINTER GARDEN REHABILITATION AND NURSING CENTER","NH","6/8/2020 13:13","0","1","0"
"OSCEOLA","AVANTE AT ST. CLOUD, INC.","NH","6/8/2020 13:13","0","0","1"
"OSCEOLA","KEYSTONE REHABILITATION AND HEALTH CENTER","NH","6/8/2020 12:54","0","1","0"
"OSCEOLA","TERRACE OF KISSIMMEE, THE","NH","6/8/2020 13:26","0","0","8"
"OSCEOLA","TERRACE OF ST CLOUD, THE","NH","6/8/2020 13:12","11","2","3"
"PALM BEACH","1 AAA ASSISTED LIVING AT WELLINGTON","ALF","6/8/2020 17:20","0","2","2"
"PALM BEACH","ABBEY DELRAY","NH","6/8/2020 14:48","0","0","3"
"PALM BEACH","ABBEY DELRAY SOUTH","NH","6/8/2020 12:57","3","4","7"
"PALM BEACH","ADDINGTON PLACE AT WELLINGTON GREEN","ALF","6/8/2020 12:52","0","1","1"
"PALM BEACH","ADDINGTON PLACE AT WELLINGTON GREEN","NH","6/8/2020 12:50","0","2","3"
"PALM BEACH","ADDINGTON PLACE JUPITER","ALF","6/8/2020 11:15","4","0","13"
"PALM BEACH","ALLEGRO","ALF","6/8/2020 14:26","9","0","4"
"PALM BEACH","ALLURE LIVING CARE","ALF","6/8/2020 14:00","0","0","1"
"PALM BEACH","ARBOR OAKS AT GREENACRES","ALF","6/8/2020 15:13","2","12","0"
"PALM BEACH","ATRIA AT VILLAGES OF WINDSOR","ALF","6/8/2020 12:02","0","0","1"
"PALM BEACH","ATRIA PARK OF ST JOSEPH'S","ALF","6/8/2020 17:40","0","0","2"
"PALM BEACH","AVANTE AT BOCA RATON, INC.","NH","6/8/2020 13:51","10","6","15"
"PALM BEACH","AVANTE AT LAKE WORTH, INC.","NH","6/8/2020 13:51","0","1","4"
"PALM BEACH","BARRINGTON TERRACE AT BOYNTON BEACH","ALF","6/8/2020 14:18","0","0","6"
"PALM BEACH","BARRINGTON TERRACE OF BOYNTON BEACH","NH","6/8/2020 14:08","0","0","6"
"PALM BEACH","BOULEVARD REHABILITATION CENTER","NH","6/8/2020 20:39","3","14","1"
"PALM BEACH","BOYNTON BEACH REHABILITATION CENTER","NH","6/8/2020 13:41","0","3","11"
"PALM BEACH","BRIGHTON GARDENS OF BOCA RATON","ALF","6/8/2020 16:48","0","1","1"
"PALM BEACH","BROOKDALE PALM BEACH GARDENS","ALF","6/8/2020 14:41","2","0","3"
"PALM BEACH","BROOKDALE WEST BOYNTON BEACH","ALF","6/8/2020 13:54","0","1","4"
"PALM BEACH","CARLISLE PALM BEACH, THE","ALF","6/8/2020 13:26","1","0","2"
"PALM BEACH","CHATSWORTH AT PGA NATIONAL","ALF","6/8/2020 13:29","0","0","1"
"PALM BEACH","CHATSWORTH AT PGA NATIONAL, LLC","NH","6/8/2020 13:37","3","1","6"
"PALM BEACH","COLONIAL ASSISTED LIVING AT BOYNTON BEACH, FL","ALF","6/8/2020 14:06","0","1","0"
"PALM BEACH","CONSULATE HEALTH CARE OF WEST PALM BEACH","NH","6/8/2020 14:19","0","4","8"
"PALM BEACH","CORAL BAY HEALTHCARE AND REHABILITATION","NH","6/8/2020 13:46","7","2","8"
"PALM BEACH","COURTYARD GARDENS OF JUPITER","ALF","6/8/2020 13:26","11","10","9"
"PALM BEACH","CRESTHAVEN","ALF","6/8/2020 14:01","0","1","3"
"PALM BEACH","DARCY HALL OF LIFE CARE","NH","6/8/2020 13:02","1","0","0"
"PALM BEACH","DISCOVERY VILLAGE AT BOYNTON BEACH AL","ALF","6/8/2020 12:34","0","0","1"
"PALM BEACH","DISCOVERY VILLAGE AT PALM BEACH GARDENS","ALF","6/8/2020 16:14","0","0","2"
"PALM BEACH","FINNISH-AMERICAN VILLAGE","NH","6/8/2020 13:28","0","0","4"
"PALM BEACH","FIVE STAR PREMIER RESIDENCES OF BOCA RATON","ALF","6/8/2020 18:36","0","1","0"
"PALM BEACH","GLADES HEALTH CARE CENTER","NH","6/8/2020 13:44","0","1","1"
"PALM BEACH","GRAND VILLA OF DELRAY EAST","ALF","6/8/2020 11:57","0","12","4"
"PALM BEACH","HAMLIN PLACE OF BOYNTON BEACH","NH","6/8/2020 16:40","0","6","2"
"PALM BEACH","HARBORCHASE OF PALM BEACH GARDENS","ALF","6/4/2020 15:05","1","0","6"
"PALM BEACH","HEALTH CENTER AT SINAI RESIDENCES","NH","6/8/2020 14:06","0","0","1"
"PALM BEACH","HEARTLAND HEALTH CARE AND REHABILITATION CENTER OF BOCA RATON","NH","6/8/2020 11:52","2","6","8"
"PALM BEACH","HEARTLAND HEALTH CARE CENTER - BOYNTON BEACH","NH","6/8/2020 14:08","11","16","3"
"PALM BEACH","HEARTLAND HEALTH CARE CENTER - PROSPERITY OAKS","NH","6/8/2020 11:51","6","4","6"
"PALM BEACH","JOSEPH L. MORSE HEALTH CENTER, INC., THE","NH","6/8/2020 12:41","1","0","3"
"PALM BEACH","LAKE VIEW CARE CENTER AT DELRAY","NH","6/8/2020 13:47","3","9","10"
"PALM BEACH","LAKESIDE HEALTH CENTER","NH","6/5/2020 14:22","0","0","3"
"PALM BEACH","LOURDES-NOREEN MCKEEN RESIDENCE FOR GERIATRIC CARE, INC.","NH","6/8/2020 13:39","0","0","1"
"PALM BEACH","MANORCARE HEALTH SERVICES","NH","6/8/2020 12:51","1","1","2"
"PALM BEACH","MANORCARE HEALTH SERVICES","NH","6/8/2020 13:19","0","4","4"
"PALM BEACH","MANORCARE HEALTH SERVICES - BOYNTON BEACH","NH","6/8/2020 13:13","9","1","1"
"PALM BEACH","MANORCARE HEALTH SERVICES WEST PALM BEACH","NH","6/8/2020 18:05","0","2","1"
"PALM BEACH","MEDICANA NURSING AND REHAB CENTER","NH","6/8/2020 13:45","1","14","1"
"PALM BEACH","NORTH LAKE CARE CENTER","NH","6/8/2020 14:02","2","11","0"
"PALM BEACH","NURSING CENTER AT LA POSADA","NH","6/8/2020 11:40","0","0","1"
"PALM BEACH","OASIS HEALTH AND REHABILITATION CENTER","NH","6/8/2020 13:15","18","0","1"
"PALM BEACH","PACIFICA SENIOR LIVING OF PALM BEACH","ALF","6/8/2020 13:30","0","0","1"
"PALM BEACH","PALM GARDEN OF WEST PALM BEACH","NH","6/8/2020 12:28","0","3","0"
"PALM BEACH","PALM'S EDGE ASSISTED LIVING AND MEMORY CARE","ALF","6/8/2020 14:02","0","3","4"
"PALM BEACH","PARKSIDE INN","ALF","6/8/2020 11:42","0","1","0"
"PALM BEACH","PLEASANT RETIREMENT HOME INC","ALF","6/8/2020 10:49","0","9","2"
"PALM BEACH","REGENTS PARK NURSING & REHABILITATION CENTER","NH","6/8/2020 13:15","5","11","1"
"PALM BEACH","REHABILITATION CENTER OF THE PALM BEACHES,THE","NH","6/8/2020 13:49","0","9","3"
"PALM BEACH","RENAISSANCE HEALTH AND REHABILITATION","NH","6/8/2020 11:17","0","16","6"
"PALM BEACH","ROYAL PALM BEACH HEALTH AND REHABILITATION CENTER","NH","6/8/2020 14:39","1","0","1"
"PALM BEACH","SIGNATURE HEALTHCARE OF PALM BEACH","NH","6/8/2020 13:51","12","23","23"
"PALM BEACH","SONATA BOYNTON BEACH","ALF","6/8/2020 13:31","0","2","1"
"PALM BEACH","STRATFORD COURT OF BOCA RATON","NH","6/8/2020 12:07","2","7","8"
"PALM BEACH","SYMPHONY AT DELRAY BEACH","ALF","6/8/2020 12:48","0","1","2"
"PALM BEACH","THE CLUB AT BOYNTON BEACH","ALF","6/8/2020 12:01","0","0","2"
"PALM BEACH","THE LANDING OF LAKE WORTH","ALF","6/8/2020 17:05","5","0","3"
"PALM BEACH","THE MERIDIAN AT BOCA RATON","ALF","6/7/2020 13:00","1","2","5"
"PALM BEACH","THE MERIDIAN AT LANTANA","ALF","6/8/2020 14:14","1","1","0"
"PALM BEACH","TRADITION OF THE PALM BEACHES (THE)","ALF","6/8/2020 14:25","0","0","1"
"PALM BEACH","VENTURA HEALTH AND REHABILITATION CENTER","NH","6/8/2020 18:08","6","2","9"
"PALM BEACH","VI AT LAKESIDE VILLAGE","NH","6/8/2020 13:46","1","0","1"
"PALM BEACH","WILLOWBROOKE COURT AT ST ANDREWS ESTATES","NH","6/8/2020 14:32","3","0","5"
"PALM BEACH","WILLOWBROOKE COURT SKILLED CARE CENTER- EDGEWATER AT BOCA POINTE","NH","6/8/2020 14:55","0","1","1"
"PALM BEACH","WOOD LAKE HEALTH AND REHABILITATION CENTER","NH","6/8/2020 16:37","0","1","5"
"PALM BEACH","YOURLIFE OF PALM BEACH GARDENS","ALF","6/8/2020 10:41","4","0","1"
"PASCO","AMERICAN HOUSE ZEPHRYHILLS","ALF","6/8/2020 12:46","0","0","1"
"PASCO","ANGELS SENIOR LIVING AT CONNERTON COURT LLC","ALF","6/8/2020 10:43","2","0","1"
"PASCO","CONSULATE HEALTH CARE OF NEW PORT RICHEY","NH","6/8/2020 13:24","0","0","2"
"PASCO","FOREST GLEN LODGES","ALF","6/8/2020 5:53","0","1","0"
"PASCO","HEARTLAND OF ZEPHYRHILLS","NH","6/8/2020 12:16","0","3","0"
"PASCO","LIFE CARE CENTER OF NEW PORT RICHEY","NH","6/8/2020 13:37","0","1","1"
"PASCO","MADISON POINTE CARE CENTER","NH","6/8/2020 12:50","0","1","0"
"PASCO","ORCHARD RIDGE","NH","6/8/2020 13:29","1","0","1"
"PASCO","ROYAL OAK NURSING CENTER","NH","6/8/2020 13:58","5","14","14"
"PASCO","SUN COAST RETREAT","ALF","6/8/2020 9:24","3","0","0"
"PASCO","WESTBROOKE MANOR","ALF","6/8/2020 13:52","0","1","0"
"PINELLAS","ABBEY REHABILITATION AND NURSING CENTER","NH","6/8/2020 14:00","0","0","1"
"PINELLAS","ADDINGTON PLACE OF EAST LAKE","ALF","6/8/2020 12:07","0","1","0"
"PINELLAS","ALHAMBRA HEALTH AND REHABILITATION CENTER","NH","6/8/2020 15:52","0","0","1"
"PINELLAS","APOLLO HEALTH AND REHABILITATION CENTER","NH","6/8/2020 18:44","0","0","1"
"PINELLAS","BARDMOOR OAKS HEALTHCARE AND REHABILITATION CENTER","NH","6/8/2020 13:39","0","1","1"
"PINELLAS","BARRINGTON (THE)","ALF","6/8/2020 12:08","0","0","1"
"PINELLAS","BAY POINTE NURSING PAVILION","NH","6/7/2020 12:22","0","0","3"
"PINELLAS","BAY TREE CENTER","NH","6/8/2020 15:29","2","2","2"
"PINELLAS","BAYSIDE CARE CENTER","NH","6/8/2020 12:45","0","0","2"
"PINELLAS","BAYTREE LAKESIDE","ALF","6/8/2020 13:54","0","0","1"
"PINELLAS","BLOOM AT ST PETERSBURG","ALF","6/8/2020 13:22","0","0","1"
"PINELLAS","BOCA CIEGA CENTER","NH","6/8/2020 21:13","0","0","1"
"PINELLAS","BON SECOURS MARIA MANOR NURSING CARE CENTER","NH","6/8/2020 13:29","0","0","1"
"PINELLAS","BON SECOURS PLACE AT ST PETERSBURG","ALF","6/8/2020 12:58","0","0","2"
"PINELLAS","BROOKDALE TARPON SPRINGS","ALF","6/8/2020 17:36","0","0","1"
"PINELLAS","BUTTERFLY MANOR ASSISTED LIVING FACILITY (THE)","ALF","6/8/2020 13:01","0","1","0"
"PINELLAS","CARRINGTON PLACE OF ST PETE","NH","6/8/2020 12:33","27","8","0"
"PINELLAS","CONSULATE HEALTH CARE OF ST PETERSBURG","NH","6/8/2020 12:17","0","0","1"
"PINELLAS","CORAL OAKS","ALF","6/8/2020 11:08","0","0","1"
"PINELLAS","EAST BAY REHABILITATION CENTER","NH","6/8/2020 19:42","0","0","1"
"PINELLAS","EGRET COVE CENTER","NH","6/8/2020 12:52","0","1","0"
"PINELLAS","FREEDOM SQUARE HEALTH CARE CENTER","NH","6/8/2020 12:37","0","14","9"
"PINELLAS","GLEN OAKS HEALTH AND REHABILITATION CENTER","NH","6/7/2020 15:40","0","0","1"
"PINELLAS","GULF SHORE CARE CENTER","NH","6/8/2020 13:25","34","24","28"
"PINELLAS","HEALTH AND REHABILITATION CENTRE AT DOLPHINS VIEW","NH","6/8/2020 16:50","0","13","11"
"PINELLAS","HIGHLAND PINES REHABILITATION CENTER","NH","6/8/2020 13:44","0","0","1"
"PINELLAS","INN AT FREEDOM SQUARE (THE)","ALF","6/8/2020 12:16","0","2","1"
"PINELLAS","INN AT LAKE SEMINOLE SQUARE (THE)","ALF","6/8/2020 13:51","0","3","0"
"PINELLAS","INN AT THE FOUNTAINS","ALF","6/8/2020 20:54","0","1","1"
"PINELLAS","KR AT COLLEGE HARBOR","NH","6/8/2020 11:46","0","1","0"
"PINELLAS","LAKESIDE OAKS CARE CENTER","NH","6/8/2020 13:51","0","0","2"
"PINELLAS","LAURELLWOOD CARE CENTER","NH","6/8/2020 15:50","0","0","1"
